Respondent_ID,Full Name,Age,Gender,City,Monthly Salary,Satisfaction Score,Join Date,Remote Worker?,Email Address
1,Debbie Knight,Unknown,Male,Toronto ,"$55,000.00",Poor,2022-08-15,Yes,Unknown
2,Daniel Mcgee,25.0,Female,Toronto,Unknown,Very Poor,2023-03-15,No,pmassey@johnson-singh.com
4,Mrs. Brittany Hill,34.0,Female,Montreal,Unknown,Poor,2022-08-15,No,Unknown
5,David Franklin,Unknown,Male,Calgary,Unknown,Average,2022-08-15,Yes,matthew97@yahoo.com
6,Sierra Hill,Unknown,Female,Montreal,Unknown,Poor,2024-01-10,No,colerachel@ramirez-crosby.com
7,Margaret Herring,25.0,Female ,Calgary,"$55,000.00",Good,2024-01-10,No,juliarobertson@yahoo.com
8,James Gross,Unknown,Female ,Toronto,Unknown,Very Poor,2022-08-15,Yes ,westcraig@yahoo.com
9,Heather Fleming,34.0,Male,Calgary,"$65,000.00",Poor,Unknown,Yes,erobertson@hotmail.com
10,Anna Gutierrez DDS,Unknown,Male,Vancouver,"$55,000.00",Poor,2023-03-15,Yes,aspencer@holloway.info
12,Bryan Atkinson,Unknown,Male,Calgary,Unknown,Poor,2022-08-15,No,stevenbrewer@snow.com
13,Joseph Ruiz,45.0,Male,Montreal,"$65,000.00",Average,2022-08-15,No,courtney97@gmail.com
14,Scott Hunt,Unknown,Male,Toronto,Unknown,Good,Unknown,Yes,byrdjill@yahoo.com
15,Joshua Matthews,Unknown,Male,Montreal,"$65,000.00",Excellent,Unknown,Yes ,Unknown
16,Jeffrey Hahn,Unknown,Male,Montreal,"$55,000.00",Average,2024-01-10,Yes ,neallarry@perez-brown.com
17,Wanda Butler,25.0,Female,Toronto,Unknown,Very Poor,2022-08-15,No,amorgan@maldonado.net
18,Vincent Rose,45.0,Female,Calgary,Unknown,Unknown,Unknown,No,aimee09@newton.com
18,Adam Jacobs,Unknown,Male,Calgary,"$65,000.00",Good,2022-08-15,Yes,Unknown
19,Tony Brennan,45.0,Male,Calgary,Unknown,Poor,2022-08-15,Yes,gwilson@yahoo.com
20,David Wade,45.0,Female ,Toronto,"$55,000.00",Good,Unknown,Yes,davidsondawn@yahoo.com
21,Janet Anderson,34.0,Female,Toronto ,Unknown,Average,2024-01-10,Yes,Unknown
22,Erin Herman,25.0,Male,Toronto,Unknown,Very Poor,2022-08-15,Yes ,david50@hotmail.com
23,Vanessa Berg,Unknown,Male,Toronto,"$55,000.00",Excellent,2022-08-15,No,kelseydavidson@hotmail.com
24,Christine Ramos,Unknown,Male,Toronto,"$65,000.00",Poor,2024-01-10,No,bvaldez@padilla.net
25,Kenneth Perkins,34.0,Female,Montreal,"$55,000.00",Good,Unknown,No,carmendunn@gmail.com
27,Justin Owen,45.0,Male,Toronto,Unknown,Poor,2022-08-15,Yes,cpowers@johnson.com
27,Patrick Pope,45.0,Female,Calgary,Unknown,Good,2022-08-15,No,qmichael@gmail.com
28,Christopher Cook,Unknown,Male,Toronto,Unknown,Good,2022-08-15,No,hubbardtiffany@norton.net
29,Mr. Kelly Cortez,Unknown,Male,Toronto,"$65,000.00",Excellent,2024-01-10,Yes,Unknown
29,Miguel Dudley,34.0,Female,Vancouver,"$55,000.00",Very Poor,2023-03-15,No,Unknown
30,Erin Melton,45.0,Female ,Toronto,Unknown,Poor,Unknown,Yes,wendy83@hotmail.com
30,Laura Webb,25.0,Female,Toronto,Unknown,Poor,2024-01-10,No,vnichols@taylor-alvarez.com
31,Matthew Mcintosh,Unknown,Female ,Montreal,"$65,000.00",Very Poor,2022-08-15,No,zbrown@white.biz
31,Joshua Ayala,25.0,Female ,Calgary,"$55,000.00",Very Poor,Unknown,Yes ,Unknown
32,Lisa Mckay,25.0,Male,Toronto,Unknown,Very Poor,Unknown,Yes ,kevin88@santiago-patterson.com
33,Christopher Nash,34.0,Female ,Calgary,"$55,000.00",Very Poor,2024-01-10,Yes ,kristinejackson@wilson.net
34,Veronica Luna,Unknown,Male,Toronto,Unknown,Poor,2022-08-15,No,trevor91@george-ramos.com
35,Matthew Miller,Unknown,Female,Toronto,Unknown,Good,2023-03-15,Yes ,blankenshipjohnathan@gregory.org
36,Shaun Christensen,Unknown,Female,Vancouver,"$55,000.00",Good,2022-08-15,No,fieldslauren@williams.com
37,Jacob Cook,25.0,Female ,Vancouver,Unknown,Very Poor,Unknown,No,Unknown
38,Carl Rivas,Unknown,Male,Vancouver,"$65,000.00",Good,Unknown,Yes,jenniferhoover@foley.com
39,Lisa Sanders,34.0,Female,Vancouver,"$55,000.00",Excellent,2023-03-15,No,waynegilmore@hotmail.com
40,Victor Lewis,Unknown,Female ,Toronto,Unknown,Excellent,2024-01-10,No,michellearroyo@hotmail.com
41,Ronald Warren,Unknown,Female,Toronto,Unknown,Very Poor,Unknown,No,Unknown
42,Howard Williams,34.0,Male,Toronto,"$65,000.00",Average,Unknown,Yes,Unknown
43,Jeffrey Allen,25.0,Female,Vancouver,"$65,000.00",Good,2023-03-15,No,Unknown
