Respondent_ID,Full Name,Age,Gender,City,Monthly Salary,Satisfaction Score,Join Date,Remote Worker?,Email Address
1,Debbie Knight,,Male,TORONTO ,55000,Poor,15-08-2022,Yes,
2,Daniel Mcgee,25,F,Toronto,N/A,1,03/15/2023,No,PMASSEY@JOHNSON-SINGH.COM
134,Michael Cuevas,45 years,F,Calgary,,2,03/15/2023,N,RODRIGUEZDANIELLE@DAVIDSON.INFO
4,Mrs. Brittany Hill,34,Female,Montreal,N/A,Poor,15-08-2022,No,
5,David Franklin,unknown,Male,Calgary,N/A,3,15-08-2022,Y,matthew97@yahoo.com
6,Sierra Hill,,Female,Montreal,N/A,Poor,2024-01-10,No,colerachel@ramirez-crosby.com
7,Margaret Herring,25,female ,Calgary,55000,4,2024-01-10,No,juliarobertson@yahoo.com
8,James Gross,,female ,Toronto,N/A,1,15-08-2022,yes ,westcraig@yahoo.com
9,Heather Fleming,34,Male,Calgary,"$65,000.00",2,not available,Yes,EROBERTSON@HOTMAIL.COM
10,Anna Gutierrez DDS,,M,Vancouver,55000,2,03/15/2023,Y,aspencer@holloway.info
27,Patrick Pope,45 years,F,Calgary,,4,15-08-2022,no,QMICHAEL@GMAIL.COM
12,Bryan Atkinson,,Male,Calgary,,2,15-08-2022,no,STEVENBREWER@SNOW.COM
13,Joseph Ruiz,45 years,M,Montreal,"$65,000.00",3,15-08-2022,no,COURTNEY97@GMAIL.COM
14,Scott Hunt,,M,Toronto,N/A,Good,not available,Yes,BYRDJILL@YAHOO.COM
15,Joshua Matthews,,male,Montreal,"$65,000.00",Excellent,not available,yes ,
16,Jeffrey Hahn,,male,Montreal,55000,3,2024-01-10,yes , neallarry@perez-brown.com 
17,Wanda Butler,25,F,toronto,,1,15-08-2022,No, amorgan@maldonado.net 
18,Vincent Rose,45 years,Female,Calgary,N/A,,not available,No,AIMEE09@NEWTON.COM
19,Tony Brennan,45 years,Male,Calgary,,Poor,15-08-2022,Y,GWILSON@YAHOO.COM
20,David Wade,45 years,female ,Toronto,55000,4,not available,Yes, davidsondawn@yahoo.com 
21,Janet Anderson,34,Female,TORONTO ,,3,2024-01-10,Y,
22,Erin Herman,25,Male,toronto,N/A,1,15-08-2022,yes ,david50@hotmail.com
23,Vanessa Berg,unknown,male,Toronto,55000,Excellent,15-08-2022,no,kelseydavidson@hotmail.com
24,Christine Ramos,unknown,M,Toronto,"$65,000.00",2,2024-01-10,N, bvaldez@padilla.net 
25,Kenneth Perkins,34,Female,Montreal,55000,Good,not available,N,carmendunn@gmail.com
31,Joshua Ayala,25,female ,Calgary,55000,1,not available,yes ,
27,Justin Owen,45 years,M,toronto,N/A,Poor,15-08-2022,Yes,CPOWERS@JOHNSON.COM
28,Christopher Cook,,M,Toronto,N/A,4,15-08-2022,N, hubbardtiffany@norton.net 
29,Mr. Kelly Cortez,,Male,Toronto,"$65,000.00",5,2024-01-10,Yes,
30,Erin Melton,45 years,female ,Toronto,,2,not available,Yes, wendy83@hotmail.com 
31,Matthew Mcintosh,,female ,Montreal,"$65,000.00",1,15-08-2022,no, zbrown@white.biz 
32,Lisa Mckay,25,male,toronto,,1,not available,yes ,kevin88@santiago-patterson.com
33,Christopher Nash,34,female ,Calgary,55000,1,2024-01-10,yes ,KRISTINEJACKSON@WILSON.NET
34,Veronica Luna,unknown,Male,Toronto,N/A,2,15-08-2022,no,TREVOR91@GEORGE-RAMOS.COM
35,Matthew Miller,,F,Toronto,N/A,Good,03/15/2023,yes ,blankenshipjohnathan@gregory.org
36,Shaun Christensen,,F,Vancouver,55000,Good,15-08-2022,no,FIELDSLAUREN@WILLIAMS.COM
37,Jacob Cook,25,female ,Vancouver,N/A,1,not available,N,
38,Carl Rivas,unknown,male,Vancouver,"$65,000.00",4,not available,Yes,JENNIFERHOOVER@FOLEY.COM
39,Lisa Sanders,34,Female,Vancouver,55000,Excellent,03/15/2023,N, waynegilmore@hotmail.com 
40,Victor Lewis,unknown,female ,toronto,N/A,5,2024-01-10,No, michellearroyo@hotmail.com 
41,Ronald Warren,,Female,Toronto,,1,not available,N,
42,Howard Williams,34,M,Toronto,"$65,000.00",3,not available,Y,
43,Jeffrey Allen,25,F,Vancouver,"$65,000.00",Good,03/15/2023,N,
44,Denise Dean,,female ,TORONTO ,"$65,000.00",3,15-08-2022,N, timothy33@yahoo.com 
45,Beth Holloway,,Male,TORONTO ,N/A,,15-08-2022,Y,
46,Dr. Allison Macias,34,female ,Montreal,"$65,000.00",5,15-08-2022,no,bakerchristopher@brady.com
47,Javier Moreno,,Female,toronto,,Poor,03/15/2023,yes ,glong@yahoo.com
48,Chase Perez,,Female,Vancouver,,Excellent,15-08-2022,no, millerdouglas@gmail.com 
49,Samantha Ryan,unknown,Male,Vancouver,N/A,1,03/15/2023,No,
50,Nicole Lucero,25,female ,Toronto,"$65,000.00",5,2024-01-10,No,vincentwhitaker@jordan.com
51,Kristin Smith,45 years,M,toronto,55000,5,03/15/2023,N,SANDRA77@HOTMAIL.COM
52,Laura Anderson,25,M,toronto,,Poor,03/15/2023,no, jwallace@gmail.com 
53,Jodi Shelton,25,male,toronto,,Poor,not available,N, taylordenise@yahoo.com 
54,Billy Chaney,25,Female,TORONTO ,N/A,5,2024-01-10,no,
55,Kevin David,45 years,Female,Toronto,N/A,4,not available,no,
56,Juan Smith,34,Female,Calgary,55000,Excellent,2024-01-10,No, ojohnson@jones.com 
57,Kevin Holmes,25,female ,Calgary,"$65,000.00",Excellent,15-08-2022,Yes, sreynolds@yahoo.com 
58,Ashley Romero,34,female ,Montreal,,4,not available,no, sdavis@brown-wilson.biz 
59,Sean Smith,,female ,Montreal,55000,1,03/15/2023,Yes,
60,Walter Robles,unknown,Female,Toronto,55000,5,03/15/2023,no,
61,Olivia Nunez,25,Female,Montreal,"$65,000.00",Good,03/15/2023,Yes,
29,Miguel Dudley,34,F,Vancouver,55000,1,03/15/2023,no,
63,Sean Gardner,25,Female,TORONTO ,N/A,Excellent,2024-01-10,no,stevensisabel@yahoo.com
64,Gerald Brown,,female ,TORONTO ,,Excellent,not available,yes , acevedocarlos@morton-brown.net 
65,Catherine Aguilar,34,Female,Montreal,"$65,000.00",,not available,N,RYAN09@HOTMAIL.COM
66,Regina Williams,unknown,F,Montreal,55000,3,15-08-2022,no,
67,Elizabeth Newton,unknown,Female,Toronto,55000,Excellent,2024-01-10,Y,
68,Paul Sweeney,45 years,F,Calgary,"$65,000.00",4,03/15/2023,N,ROBINSONTHERESA@KRAUSE-ROBLES.INFO
69,Carol Cunningham,45 years,M,toronto,55000,3,03/15/2023,Yes,
70,Judy Ross,unknown,M,Toronto,,3,not available,no,leahhebert@rivas-hughes.biz
71,Breanna Wagner,25,female ,Calgary,55000,Poor,15-08-2022,Y,
72,Amber Nguyen,unknown,F,Toronto,55000,1,2024-01-10,No,ANGELACURTIS@HOTMAIL.COM
73,Kelly Gutierrez,,Female,Montreal,55000,2,2024-01-10,Yes,ATKINSONRHONDA@YAHOO.COM
74,Jessica Romero,,female ,Montreal,,Good,not available,Yes,silvastacy@mcdowell-williams.com
75,Pamela Spears,45 years,M,Vancouver,,Poor,2024-01-10,No,RIVERASANDRA@HENRY.INFO
76,Susan Campbell,34,male,Vancouver,N/A,4,03/15/2023,yes ,GRAYROBERT@HOTMAIL.COM
77,Mrs. Danielle Rush,25,male,Calgary,55000,Excellent,2024-01-10,yes , sharonbrown@adams.com 
78,William Williams,,M,Montreal,55000,,not available,Y,
79,Seth Reynolds,unknown,F,Calgary,N/A,Excellent,03/15/2023,N,FOSTERJILL@YAHOO.COM
80,Karen Silva,unknown,Female,Calgary,55000,1,2024-01-10,no,CHRISTIAN42@HEATH-VANG.COM
81,Jonathan Allen,34,Male,Calgary,N/A,5,15-08-2022,N,KWHITE@GMAIL.COM
82,Erika Brooks,34,M,Montreal,"$65,000.00",,2024-01-10,yes ,
83,Vincent Goodwin,25,Male,Calgary,55000,,2024-01-10,no,nicholas11@yahoo.com
84,Timothy Moore,34,male,TORONTO ,55000,,not available,Y, shepparddavid@thompson-barnes.net 
85,Erica Brown,25,female ,Calgary,55000,4,15-08-2022,Yes,
86,Jonathan Roberts,unknown,Male,Vancouver,55000,Good,15-08-2022,Yes, campbelljustin@yahoo.com 
87,Elizabeth Jones,45 years,M,Calgary,"$65,000.00",Good,15-08-2022,N,tbarnes@gmail.com
88,Vanessa Garner,45 years,female ,Toronto,"$65,000.00",Good,15-08-2022,N,ccole@gmail.com
89,Benjamin Griffith,25,Male,Montreal,55000,Poor,not available,yes ,
90,Charles Weiss,,female ,Toronto,55000,1,03/15/2023,N,
91,Gregory Smith,,female ,TORONTO ,55000,4,15-08-2022,yes ,
92,Wendy Mcmillan,45 years,Female,Montreal,,Poor,2024-01-10,Y,
93,Ashley Jacobs,,M,toronto,,4,15-08-2022,No,
94,Michael Erickson,25,Female,Montreal,,2,03/15/2023,Yes,
95,Samantha Butler,unknown,F,toronto,55000,,not available,N,NATASHA97@JONES-WALKER.BIZ
96,Sarah Burke,34,female ,Calgary,"$65,000.00",Poor,not available,no, zsanchez@madden.com 
97,Kirk Davis,,Female,Toronto,N/A,Excellent,03/15/2023,N,huffangela@yahoo.com
30,Laura Webb,25,F,Toronto,N/A,2,2024-01-10,No, vnichols@taylor-alvarez.com 
99,Ryan Thompson,25,female ,Toronto,"$65,000.00",Poor,15-08-2022,no,MICHELLEJOHNSON@GMAIL.COM
100,Natalie Carter,,Male,Calgary,,Excellent,2024-01-10,No,
101,Crystal York,45 years,female ,Vancouver,,1,not available,No,BRADLEY64@WILLIAMS-ZUNIGA.BIZ
102,Brenda Rodriguez,unknown,M,Vancouver,55000,Excellent,not available,Y,
103,Jeffery Brewer,unknown,Male,Toronto,N/A,Good,2024-01-10,no, mike34@young-johnson.com 
104,Christopher Lopez,unknown,M,Toronto,"$65,000.00",5,15-08-2022,yes , sarah87@hotmail.com 
105,Stephen Bullock,,female ,TORONTO ,"$65,000.00",5,not available,N,HOLLY08@YAHOO.COM
106,Valerie Brown,25,female ,Calgary,"$65,000.00",3,03/15/2023,N, richard79@yahoo.com 
107,Alexa Gregory,25,F,toronto,55000,Excellent,03/15/2023,Y,JAMESMORALES@WOLFE.BIZ
108,Erik Johnson,34,Female,TORONTO ,,1,2024-01-10,No,
109,Stephen Thomas,34,female ,Toronto,"$65,000.00",4,2024-01-10,Yes,
110,Hunter Arnold,,male,toronto,55000,3,2024-01-10,N,JENKINSDEBORAH@HOTMAIL.COM
111,Michael Williams,45 years,male,toronto,,Good,2024-01-10,no,davidsondavid@hodges.com
112,Jill Rodriguez,34,M,Montreal,N/A,4,2024-01-10,Yes,ZHUBER@HOTMAIL.COM
113,Theresa Harrison,unknown,Female,Montreal,55000,Poor,not available,no,gibsonjacqueline@davis-johnson.biz
114,Steven Bryant DDS,unknown,female ,toronto,,5,not available,No,ovalentine@mitchell.biz
115,Stephanie Fuller,45 years,F,toronto,55000,4,2024-01-10,N,
116,Donna George,34,female ,TORONTO ,55000,2,15-08-2022,yes , ffrancis@anderson.net 
